Date,Boston Marathon Year,BQ %,Ran Boston %,Downhill BQ %,Name
2023-11-04,2025,7.446808510638298,2.127659574468085,5.319148936170213,Bears Ears Marathon
2023-09-16,2025,12.077294685990339,0.966183574879227,9.178743961352657,Cascade Express Marathon
2024-09-07,2025,14.417744916820702,4.621072088724584,7.763401109057301,Cascade Express Marathon
2022-07-22,2023,10.175438596491228,1.7543859649122806,6.315789473684211,Deseret News Marathon
2023-07-24,2024,9.523809523809524,1.1904761904761905,3.869047619047619,Deseret News Marathon
2024-07-24,2025,7.828282828282829,1.2626262626262625,3.787878787878788,Deseret News Marathon
2021-09-04,2023,7.792207792207792,0.0,5.194805194805195,East Canyon Marathon
2022-09-03,2023,13.432835820895523,0.0,10.44776119402985,East Canyon Marathon
2022-09-03,2024,8.955223880597014,0.0,7.462686567164178,East Canyon Marathon
2023-09-02,2024,7.042253521126761,0.0,5.633802816901409,East Canyon Marathon
2023-09-02,2025,7.042253521126761,0.0,5.633802816901409,East Canyon Marathon
2024-08-31,2025,11.34020618556701,0.0,7.216494845360824,East Canyon Marathon
2021-12-19,2023,39.62264150943396,11.320754716981133,28.30188679245283,Hawaii Bird Conservation Marathon
2022-12-18,2024,35.55555555555556,11.11111111111111,23.333333333333332,Hawaii Bird Conservation Marathon
2023-12-17,2025,42.45283018867924,14.150943396226415,29.245283018867923,Hawaii Bird Conservation Marathon
2022-08-21,2023,30.76923076923077,1.098901098901099,25.274725274725274,Leading Ladies Marathon
2023-08-20,2024,23.46938775510204,4.081632653061225,20.408163265306122,Leading Ladies Marathon
2024-08-18,2025,16.78832116788321,0.0,13.86861313868613,Leading Ladies Marathon
2022-06-12,2023,38.84615384615385,15.576923076923077,29.423076923076923,Light at the End of the Tunnel Marathon
2023-06-11,2024,22.457067371202115,7.001321003963012,14.927344782034346,Light at the End of the Tunnel Marathon
2024-06-09,2025,26.291079812206576,7.981220657276995,14.906103286384976,Light at the End of the Tunnel Marathon
2021-09-04,2023,22.123893805309734,5.3097345132743365,20.353982300884958,Pocatello Marathon
2022-09-03,2023,18.666666666666668,4.666666666666667,16.0,Pocatello Marathon
2022-09-03,2024,16.0,1.3333333333333335,13.333333333333334,Pocatello Marathon
2023-09-02,2024,13.40782122905028,1.675977653631285,12.290502793296088,Pocatello Marathon
2023-09-02,2025,12.849162011173185,1.675977653631285,12.290502793296088,Pocatello Marathon
2024-08-31,2025,17.46987951807229,1.2048192771084338,13.855421686746988,Pocatello Marathon
2021-11-13,2023,37.2564302416212,11.847233047544817,20.34294621979735,Revel Big Bear Marathon
2022-11-12,2024,29.484029484029485,7.371007371007371,15.909090909090908,Revel Big Bear Marathon
2023-11-18,2025,29.117330462863293,9.311087190527449,14.101184068891282,Revel Big Bear Marathon
2022-09-10,2023,26.673228346456696,8.46456692913386,9.448818897637794,Revel Big Cottonwood Marathon
2022-09-10,2024,16.043307086614174,1.968503937007874,5.31496062992126,Revel Big Cottonwood Marathon
2023-09-09,2024,13.086419753086421,3.0864197530864197,4.753086419753086,Revel Big Cottonwood Marathon
2023-09-09,2025,11.790123456790123,1.0493827160493827,4.074074074074074,Revel Big Cottonwood Marathon
2022-04-02,2023,30.88145896656535,8.753799392097264,15.19756838905775,Revel Mt. Charleston Marathon
2023-04-01,2024,24.741602067183464,6.976744186046512,11.304909560723514,Revel Mt. Charleston Marathon
2024-04-06,2025,26.876790830945556,9.054441260744985,10.601719197707736,Revel Mt. Charleston Marathon
2024-05-05,2025,16.00708800945068,4.48907265209687,9.864146485528648,Revel White Mountains Marathon*
2022-09-07,2023,12.446351931330472,2.1459227467811157,6.866952789699571,Runtastic Nebo Marathon
2022-09-07,2024,8.15450643776824,0.8583690987124464,3.862660944206009,Runtastic Nebo Marathon
2023-08-26,2024,8.018867924528301,0.9433962264150944,3.7735849056603774,Runtastic Nebo Marathon
2024-09-07,2025,14.285714285714285,3.896103896103896,4.545454545454546,Runtastic Nebo Marathon
2022-01-29,2023,10.328638497652582,0.0,6.572769953051644,Sun Marathon
2023-01-28,2024,8.280254777070063,0.0,4.45859872611465,Sun Marathon
2024-01-27,2025,6.451612903225806,0.0,5.161290322580645,Sun Marathon
2022-09-11,2023,42.10526315789473,10.526315789473683,32.89473684210527,Sundance to Spearfish Marathon
2022-09-11,2024,32.89473684210527,3.9473684210526314,25.0,Sundance to Spearfish Marathon
2023-09-10,2024,25.581395348837212,2.3255813953488373,16.27906976744186,Sundance to Spearfish Marathon
2023-09-10,2025,20.930232558139537,0.0,13.953488372093023,Sundance to Spearfish Marathon
2024-09-08,2025,25.675675675675674,5.405405405405405,17.56756756756757,Sundance to Spearfish Marathon
2022-06-26,2023,16.610169491525422,6.101694915254238,11.864406779661017,Super Marathon
2023-06-17,2024,9.210526315789473,3.289473684210526,5.263157894736842,Super Marathon
2024-06-22,2025,10.804020100502512,3.2663316582914574,6.030150753768844,Super Marathon
2021-12-04,2023,15.296052631578947,2.631578947368421,12.828947368421053,Tucson Marathon
2022-12-10,2024,16.485507246376812,1.9927536231884055,13.949275362318842,Tucson Marathon
2023-12-10,2025,13.064713064713066,1.8315018315018317,11.233211233211234,Tucson Marathon
2022-09-18,2024,18.125,6.5625,11.5625,Tunnel Light Marathon
2023-09-10,2024,19.66966966966967,7.957957957957958,11.711711711711711,Tunnel Light Marathon
2023-09-10,2025,16.516516516516518,3.453453453453453,10.51051051051051,Tunnel Light Marathon
2024-09-08,2025,20.697954271961493,8.062575210589651,12.033694344163658,Tunnel Light Marathon
2022-08-14,2023,36.93931398416886,15.303430079155673,26.912928759894463,Tunnel Vision Marathon
2023-08-13,2024,16.274509803921568,6.666666666666667,9.607843137254903,Tunnel Vision Marathon
2024-08-11,2025,21.91176470588235,8.823529411764707,13.23529411764706,Tunnel Vision Marathon
2022-06-04,2023,12.156448202959831,2.2198731501057085,9.090909090909092,Utah Valley Marathon
2023-06-03,2024,11.9358074222668,2.708124373119358,8.72617853560682,Utah Valley Marathon
2024-06-01,2025,9.983633387888707,1.6366612111292964,6.873977086743044,Utah Valley Marathon
